genre,author,name,content,clean_content,cut_content
1,唐湜,W.勃莱克,你，吹着芦管的诗人啊，能在一粒沙里见到个宇宙，你天真的手掌可握住了不朽！“多好啊”，你说你自己在美好的夏天成了爱底王子，不怕日子在阳光下悄悄展翅；谁拿百合花作你的头发，谁又拿酩红的蔷薇作你的面颊，你跨进了多美、多好的果园哪！是太阳点燃了你心儿里的歌，你幻想的轻翅上满是五月的水露，有金色的欢乐在诗的行列里旋舞；我们要跟着你吹天真的芦管，跟着你见到的天使，在云彩上歌唱我们心弦上颤动的梦幻！,,
1,唐湜,偷穗头的姑娘,泥土是你的皮肤，麦刺是你的头发，你的手是枯死的树枝，掌心里满是树皮的皱纹；你匆匆穿过阡陌，像老鼠一样跳过麦田，你的眼里映着黄昏的太阳，瞳仁里满是信心的光辉；你像母鸡样搜索割过的麦田，一粒粒拾起嵌在泥里的麦粒，你的耳朵贴在地上，候田岸上的足音过去，偷偷地跑向麦田，摘下穗头，藏到怀里，藏着满心的喜悦，风吹着你飘动的头巾，像是夜在轻轻儿吹哨！,,
1,唐湜,可爱的河,"1可爱的河，静静地流，静静地流，听我唱起我的歌！六月的黄昏太轻狂，睡莲开满了小湖荡，当我与友人悄悄儿走着，童话的世界在面前飞扬。我不爱一睡千年的少女，密林里一片莹洁的白羽，生命的芳烈幽幽地散射着，时间把光彩给涂抹得太浓郁；我不爱百合花里的公主，白天有魔鬼占着闪光的明眸，夜晚有大青蛙的泪在痛苦地流,美丽的就不会有那么温柔；我不爱汤姆?沙耶的莽撞，装凶恶的强盗在河上流浪，星空下静听荒野的呼喊，珍宝在童心里幻化出奇异的光;我也不爱丑小鸭的欢呼，淳真的灵魂在人世就不会幸福。芦苇里哪儿能脱去毛羽，天鹅飞去如一天云彩飘浮？我就爱那莱茵河上的女妖，久航的水手听到她柔曼的歌声,会忘了世界的广阔，漩涡里乃有着轻盈的化生。化入水，化入鱼，化入那可爱的河，静静地流，静静地流,莱茵河唱着她的歌！我就爱这莱茵河的歌，给我们水，给我们鱼，给我们星月相辉的六月，给我们一醉千年的漩雨!2可爱的河，静静地流，静静地流，听我唱着我的歌！我们背后有一片荒凉的岁月，荒芜的城,飘忽又寂寥，一阵风忽吹上二十四桥；夜晚，桥上风月无边，一片笛声给如花的少女送走了一段如水的流年；那个苍白的皇城里，有御沟中二片红叶哀泣着青春的囚系；“一春梦雨常飘瓦”，诗人.有感于季节的干旱，乃走向了多风雨的江南；空有长爪生怅望着白玉楼；哪儿有四季长春的三神山在海上漂流？击铜琵，舞铁板，长安市有凄凉的尺八声唏嘘，关西大汉唱不出“大江东去”！任凭桥头明月高照，胡珠量去了釆桑的罗敷；哪儿找去年的燕子檐下舞？你听，你听那一声声：“归去，归去！”布谷鸟叫唤着渐绿的春，斑鸠在呼喊时间的风雨！可爱的河，静静地流，静静地流，听我唱着我的歌！我们面前有一片奔涌的海，真挚的历史在沸腾地展开，哪怕春雨一次次向我们袭来，严肃的时辰可要拨起火星，叫火山燃起焦渴的崖谷、森林,有交响的雷电在前先行；一夜可怕的痉挛、阵痛，就能诞生一个新人类的早晨；一次地层的巨大的震撼，涌起了一片青翠的峰峦，飞绕着一片片彩云的锦帆，再一次铸造山川、湖泊，再一次进行了辉煌的交错；田园的都市要在火焰里闪光,就像新月披着群星的衣裳！新的人类要在迷梦里醒来，相互拥抱，也拥抱了更伟大、广阔的翠色的海！呵，亲爱的友人，童话的世界那么可悲地幽沉,不会有阳光下自然的丰盈，该叫我们，亲爱的友人，该叫我们心儿里的小飞蛾，咬破往日自缚的窄小的茧，飞向那一片烈火似的欢乐！3可爱的河，静静地流，静静地流，听我唱着我的歌！一夜徘徊在荒野上，月露沾湿了我的衣裳，乃在城头吹低回的笛，看日出前平原的迢递；蜻蜓悄悄儿展翅飞翔，驮来片水底的音乐摇漾；呵，给我们鱼的跃动，水的从容，叫我们渡过河，渡过江，去到一望涛涝的大海上；当青翠的恋念凝作泠泠的珠贝，船头的水手乃爬上桅杆远望：好一天风讯,好一片阳光，开始吧，万里的远航！可爱的河，静静地流，静静地流，听我唱着我的歌！",,
1,唐湜,奇幻的夜,"静谧的童话样奇幻的夜，云雾里出现了一弯新月，照耀着叶芽上一颗颗珍珠，新嫩的枝条上一串串流苏；照耀着东山上一片片翠浪，叫东山下的小湖流漾着银光;呵，我听到湖水在低语，呼唤水底下睡去的小银鱼；呵，我听到花朵在吐蕊，吐出片光艳的希望、智慧！我披着衣服，去林间散步，去倾听生命的颤动、欢呼；呵，一片片小翠叶在倾听，一株株小植物在静静地倾听,在倾听那飞扬的大风之歌,向四化进军的号角之歌！呵，植物们要啜吸水泉，为了生命在阳光下长得欢！呵，毛竹在茁长着小臂膀，采集月亮漏下去的光芒，为了要编个银色的密网，去捕捉天宇上最璀璨的星光，给欢快的明天、熠熠的早晨，给生命树初放的每一朵花铃！",,
1,唐湜,如若,"如若一个风雨的黄昏，去你孤独的楼居，轻轻地敲叩你心灵的门扉，敲开你的沉默，你沉默的俳恻……如若悄悄儿站在你面前，望入你翠色的流漾的眼眸,望入你摇曳的心，凝视你心儿上一片电波的奔流……如若我打开那合上的书，拿出片憔悴的染血的红叶,你西郊秋旅归来给我的，跟你看叶脉间紫血的凝结……如若我把那春的企望，奉献给你的灵思的欢谐，如若我把那诗的交错，奉献给你的迟暮的郁结……我想，你许会放下你的笔，打燃烧的诗里悄悄儿站起来,来欢迎另一个燃烧的你,把你的静默的心扉打开……我想，你也许不会再望着那案上凝结的《春》的流荡，而有着黄昏的无限迷惘，心儿里有一次永恒的摇漾！",,
1,唐湜,我的欢乐,"我不迷茫于早晨的风，风色的清新，我的欢乐是一片深渊，一片光景,芦笛吹不岀它的声音，春天开不出它的颜色，它来自一个柔曼的少女的心，更大的闪烁,更多的含凝；它是一个五彩的贝壳，海滩上有它生命的修炼，日月的呼唤,水纹的轻柔，于是珍珠耀出夺目的光华；静寂里有常新的声音袅袅地上升，像远山的风烟，将大千的永寂化作万树的摇红;群山在顶礼,千峰在跃动，深谷中丁丁的声音忽然停止，伐木人悄悄归去，时间的拘束在一闪的光焰里消失！",,
1,唐湜,手,"——敬悼朱自清先生……而还有一个人，他在我们永远落在他的手的温柔里时支持着我们。——R.M.Rilke我已经看到好些时候，沉默在历史性的沉默里的一切真淳的觉醒,一些人已经起来，又被无耻的风轻轻抹去，带来疲乏的入魔的痛苦；我已经看到在混凝土的地层里，一个新人类的早晨已经发亮，树林子下有遥远的海，沉沉的云预言似的下垂，呐喊，熊似的生命，众多的手臂是人们的森林；“梅雨潭的绿”，从你，生命从容地转向了父亲沉重的“背影”，人类的苦难的形象，十字架孕育了长期的坚忍，从绿变黄，成就的是你,舟子，一篙点入了波心，秦淮河，呵，桨声灯影，六朝的烟雨化入了下沉的土地，一片难忍的泥泞，星辰悬挂在罗网里，你爬着，遥想巴那斯山上的群神——当你的声音走入幼小的心，时间的呼吸如此熠耀，青春的足底粘着历史的泥土，我等待着那黯淡的深渊的沸腾，一个痛苦的焦虑挺立在祈求的凝眸的日子里，呵，彗星起来了，在凉风后面，我从你的温馨的书页，走入了陌生的城，轻轻的举步,觉有酣眠的清醒，流呵，静静地流，在不远的地方，我仿佛扪到生命的跃动的叫唤，在石头的花纹后面呼之欲出，于是云影里，潮音凝成了起伏的山岗，雁山蔚蓝如悲怆的大地的琴弓，河岸上星光沉落，渡河的坚定的姿于一闪间凝结，亲切的光耀在海上升起，朝霞晕开如金色的莲花，思想的手在不经心间伸入混沌；因为人们已经醒来，因为人们已经起来……",,
1,唐湜,敲叩,门外忽而有轻轻的一叩，是旧时的燕子归来，落衔泥于我的门上，或是那淡去的幻梦又来敲我闭上的心扉？“峨眉山下，直是少人行！”有谁在幽暗里哀哀地低唱，西风在窗外吹弄着叶子，如猫爪在我的心窝上呵痒；呵，哪儿寻梦中的流光？哪儿寻梦中的残山剩水？就你，午夜的钟声能引我去长长的旅，度梦中客岁！,,
1,唐湜,晨星摇曳,"浓荫里隐约有晨星摇曳，你的眼眸在我是幽暗里的灯；杯中浅去，你的两曆微酩，可更醉的是我迷茫的心；听不见时间的足音一声声响起，看不见欢乐褪色,季节有更浓郁的美，眼色的交融里，生命闪出了一片雾，你的跟我的，大千为一切成熟欢呼；当潮水在月光的招引下涌起，静默中有渐成形的意象展开，万壑千潭，照不出它的幻影，恍如一天云彩，打远方翠峦上飞来！收不住足步，留不住真淳，光与影相映相辉以俱去；夏天轻惦着脚尖步向静寥的秋郊，更大的闪耀里，我的凝思向崇高飞举！",,
1,唐湜,有 赠,你闪烁的眸子叫我痛苦，你棕色的皮肤叫我想到林中的麋鹿，在奔驰中忽儿停蹄，回眸作盈盈的笑；想象你是一片火焰、一片波光，原始的混沌里凝合着翠色的摇漾；你在等着我野鹿的心在一起燃烧，叫满天的霞光来照亮语言的荒凉；我心儿上早没有了乡野的苦涩，可不想再在幻望里流连光景；有一天，我想，我会高举起两臂，猛一掷，将生命化作片烈焰飞腾！,,
